CMDLINE C:\Users\Robert\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.578125 1709670094.0238
MEM 12.652344 1709670094.1248
MEM 19.820312 1709670094.2248
MEM 23.414062 1709670094.3398
MEM 26.503906 1709670094.4408
MEM 30.382812 1709670094.5408
MEM 37.910156 1709670094.6408
MEM 46.425781 1709670094.7418
MEM 55.539062 1709670094.8420
MEM 62.082031 1709670094.9430
MEM 67.957031 1709670095.0596
MEM 68.589844 1709670095.1606
MEM 70.371094 1709670095.2622
MEM 72.808594 1709670095.3632
MEM 75.273438 1709670095.4632
MEM 77.960938 1709670095.5642
MEM 80.816406 1709670095.6642
MEM 83.851562 1709670095.7645
MEM 86.726562 1709670095.8655
MEM 92.367188 1709670095.9655
MEM 93.574219 1709670096.0655
MEM 96.519531 1709670096.1665
MEM 97.804688 1709670096.2665
MEM 99.476562 1709670096.3665
MEM 101.292969 1709670096.4675
MEM 101.859375 1709670096.5675
MEM 109.000000 1709670096.6676
MEM 114.750000 1709670096.7679
MEM 114.765625 1709670096.8679
MEM 114.773438 1709670096.9689
MEM 114.777344 1709670097.0692
MEM 119.917969 1709670097.1702
MEM 130.886719 1709670097.2702
MEM 134.851562 1709670097.3703
MEM 138.343750 1709670097.4704
MEM 137.996094 1709670097.5704
MEM 136.007812 1709670097.6714
MEM 40.226562 1709670097.7784
